ID,Sports,Interview Text,Speaker,Type,Labels
369,Tennis, It is the same.  It is fast.  Just fast.  You can't say it is two miles slower or something.  It is just fast.,ANDREI MEDVEDEV,Individual,4
370,Golf,"On the 10th tee I put it in the rough but made a bogey there, but on the next hole I made a birdie, and I think that was the key hole maybe.",HIDEMICHI TANAKA,Individual,4
371,Volleyball,"I thought I did fine. I don't know, I'm just playing to win. I guess that's the key to my performance.",ADANNA ROLLINS,Team,2
372,Golf,"""Don't you think you had a moral obligation to the British fans to let them see the greatest player in the world?""  No, this is not an exhibition.  This guy came on and on and on.",CURTIS STRANGE,Individual,8
373,Hockey,"Yeah, I don't know if they're really slowing him down.  I think he's getting looks.  He's just not scoring.  Rask is playing well, that's for sure, making the saves.",CRAIG BERUBE,Team,2
374,Baseball,"We trust our players here. You hear a lot of people like me sit up here and say that, We trust our players, and give them the opportunity.",AJ HINCH,Team,5
375,Cricket,"Yeah, the coaches always emphasise on bowling on the right place and right spot and right length and line and length.",RITU MONI,Team,1
376,Baseball,"That's a tough call. I haven't even looked at schedule yet, but I know we play good baseball, and we got to stay healthy, but I think we're better than what people think, that's for sure.",CHARLIE MONTOYO,Team,5
377,Baseball,"Something we did as an organization is we sent a group of professionals to Puerto Rico to work with him in different areas, training areas, and he was very receptive with all the information.",CARLOS BELTRAN,Team,7
378,Baseball,"No, I'm a genuine guy, and it's really easy in this game, especially players. They see through the people that are fake or BS. I don't think that will be a problem for me.",DAVID ROSS,Team,5
379,Golf,"Today was a much better day, yeah.  Eight birdies and felt great out there.  Nice to post a 65 up there and try and catch some of the leaders.",KATHERINE KIRK,Individual,2
380,Tennis," I prefer to leave it a secret because I'd like it to be working for me for more and more weeks and months and years, so I am not going to tell you that.  Sorry.",HELENA SUKOVA,Individual,1
381,Baseball,They didn't win 106 games for nothing. They'll really good. They've got a well-balanced lineup. Their pitching is good. Their bullpen gets out. We knew this coming in.,DAVE MARTINEZ,Team,4
382,Baseball,"We're very pleased with the way he played. Obviously, the errors aren't part of the equation, but when you start looking at metrics and what he does range-wise, he's very solid. He's very solid.",ALEX CORA,Team,2
383,Volleyball,"We're happy to be back at the Final Four. Excited for our match on Thursday. Been a great year for us, and wonderful to be playing some of the best volleyball here at the end.",HUGH McCUTCHEON,Team,5
384,Baseball,"No, no. We have not. And I think it's probably something he would be open to. We have started talking about a little bit, but right now we have a focus on getting healthy and working hard at third base.",AARON BOONE,Team,3
385,Tennis, I- wasn't- worried about the other guys in the draw.  Just concerned about my matches and what I was going to do to prepare and stay focused.  Last two weeks I did a pretty good job of that.,PETE SAMPRAS,Individual,2
386,Golf,"It's about seven, eight hours.  I'd skip school on Friday and go down.  I missed my fair days of school.",CHARLES HOWELL III,Individual,7
387,Tennis," Well, sure she's a great player.  She has been at the top before, and, you know, she knows how to win and, you know, there is no question.  I think she plays -- is it Graf?",LINDSAY DAVENPORT,Individual,2
388,Cricket,It's just tactically just to break the momentum because she was getting bat on ball and just to slow the game down for us as well.,NARUEMOL CHAIWAI,Team,1
389,Tennis," Yeah, first time.  Sometimes they defaulted at the beginning of the tournament, but not beginning so close to the quarterfinals or semifinals.  It is the first time.",ARANTXA SANCHEZ VICARIO,Individual,7
390,Auto Racing,"  Yeah, it's actually a good influx of really good people.  It will just help on the engineering side of things.  Obviously you've got a bigger crew to pick from as far as crews.",WILL POWER,Blended,7
391,Tennis,"  I happy to be in that position.  I am not thinking about if I am surprised or not.  I am very, very happy.",HELENA SUKOVA,Individual,7
392,Basketball,"  Interestingly enough, it's never like this day of decision.  I just kind of start working out and I see how I feel.  I wish I could give you more, and I'm not trying to be elusive.",SUE BIRD,Team,7
393,Tennis," Yeah, I mean, I worked also a lot my physical, so I know I have now maybe one of the best also.",CEDRIC PIOLINE,Individual,2
394,Cricket,"No, that's where the ball went. As soon as I try to premeditate, I usually lose my wicket. So I have a saying, see ball hit ball, and that's something that I did today.",LIZELLE LEE,Team,2
395,Cricket,"Yeah, of course it's a worry. I think any Team worries when their senior players aren't performing. Obviously there are things that we can go back and look at, but obviously that hurts.",SHAKERA SELMAN,Team,2
396,Football,"That is extremely important for us in offense.  To be as successful as we need to be, we need to have both parts of our game going, and, you know, January 3rd, we intend to have a great time.",JOSH HEUPEL,Team,1
397,Baseball,"I'm not sure what the answer to that question is. The most direct and easiest way to answer is probably to win more baseball games, and how many more? I'm not quite sure.",GABE KAPLER,Team,1
398,Tennis," Well, what can you do when you have a rain like that?  There is not much you can do and when you want to stick to the schedule, it is what you try to did, just hope for the best.",HELENA SUKOVA,Individual,7
399,Golf,I put that out of my mind a long time ago.  I could have sat in my den a lot of times and gotten mad at Trey for that ridiculous drop on Sunday.,LOREN ROBERTS,Individual,7
400,Golf,Do you want to go through the birdies first and then he can make some comments?  You started on 10 and you birdied 11.,JOAN v.T. ALEXANDER,Individual,4
401,Baseball,"Doesn't look like there is one right now, but I hope there's one tomorrow. We're waiting until the last game to have it on our side.",AJ HINCH,Team,6
402,Golf,"  I did.  Probably had a small piece last night, too.  I have had a couple of pieces since we cut it.  Don't tell my (indiscernible).",ALLY MCDONALD,Individual,7
403,Football,  It's been good.  We got to enjoy some experiences that we don't see happen very often; so enjoy them when they do happen.  But also prepare yourself to play a great game.,JOSH HEUPEL,Team,1
404,Tennis," The forehand, the backhand, I already had it.  I have a forehand and two hand backhand.  Two hand backhand and it is difficult to say, like this (Indicating) I don't know.  When she hits she let's go with one hand.",MARIA JOSE GAIDANO,Individual,2
405,Golf," Well, I mean, I want to thank Laura, that's quite a compliment.  I mean, it's tough for me to think in    that's such a big compliment.",ANNIKA SORENSTAM,Individual,7
406,Tennis," It was a little difficult to get into the court.  But it didn't take a lot of time to do that, the problem was with my game, it was the problem where I play.",ANDREI MEDVEDEV,Individual,2
407,Tennis," I just came in with a bad knee and it just started getting worse.  It was a bit painful to push off.  I had no strength to push off, so I didn't see any point of playing.",IVAN LENDL,Individual,3
408,Golf," Not anymore, as long as you have the right documentation it's not too bad.  But I didn't want to put her through that.  She's not quite a year old yet, so I didn't fancy that.",KAREN STUPPLES,Individual,7
409,Volleyball,"""Them"" being Stanford? Well, they're good. They were good then, and they're good now. We know we've got our work cut out for us. Very talented Team. Well coached, and we expect it to be a battle.",HUGH McCUTCHEON,Team,6
410,Baseball,"Yeah, look, nothing has been decided yet, so it's tough to talk about when there is an investigation going on.",BOB MELVIN,Team,8
411,Basketball,"  I mean, obviously, all the experiences that he's had.  He's not going to get surprised by anything.  He's been in every competitive situation that this league can provide you and he's been able to find success with different Teams.",ERIK SPOELSTRA,Team,2
412,Tennis," Not yet, but maybe I will in a couple of years.  Today she had a good chance, because I wasn't playing very well.  She had a good chance to even win today.  She was trying to play very well.",STEFFI GRAF,Individual,4
413,Volleyball,"I feel like I'd say what my mom always says about us when I ask who the favorite child is, and she was like, I don't have favorites, but I do like a certain one more at different times.",JENNA GRAY,Team,7
414,Auto Racing,"  Karting?  I was going to race a club race next weekend but then I realized I'm testing a couple days after, so probably shouldn't risk it.  Yeah, I love the karting.  No Vegas this year, unfortunately.  They called that off.",WILL POWER,Blended,7
415,Tennis," Yeah, I would like to reach the top.  I would like to be the best.  I try to keep improving and to keep changing things if I have to, just to get better and to be the best.",GABRIELA SABATINI,Individual,2
416,Tennis,I think I am going to take about a month rest and let my knee heal and get ready for the tournaments in Europe.,MARY PIERCE,Individual,3
417,Baseball,Ask him if he can speak as loud as when he hit the ball on the train so they can hear him back there. (Chuckles.),HAROLD REYNOLDS,Team,2
418,Golf," Hopefully there's somewhere I can do some sort of fix-up job, if I can get it somewhere near 55 degrees.  It's about the loft of my 5-iron at the moment.",GEOFF OGILVY,Individual,1
419,Golf,"I finished tied for second, played well.  I was tied on the last day and I finished second, finished tied for second.",JONATHAN BYRD,Individual,2
420,Tennis," I just want it to be on the record so anybody upstairs and the writers that aren't here right now, talk a little bit about the match then being in the quarterfinals of the U.S. Open.",RICHARD FINN,Individual,7
421,Golf,"  Well, if I'm playing with Karrie, I look forward to it.  She's obviously one of the greatest players on our tour ever, so I'm going to expect some good things from her tomorrow.",ANNIKA SORENSTAM,Individual,6
422,Baseball,"Just different adjustments. Different adjustments to make, different pitches. And to be able to focus on any pitches in the zone, those were the basic things.",YORDAN ALVAREZ,Team,1
423,Golf," Oh, it's probably been -- I think maybe one of the holes in Reno, Nevada, I think I did it once there, and then a par from there at the Bob Hope earlier in the year.",CHARLES HOWELL III,Individual,4
424,Volleyball,"It was a good feeling, especially after last year. Overall we're just glad that the Team did well and that we were very consistent.",ALEXIS HART,Team,5
425,Golf," Six probably.  6 over through the first ten holes, at least four or five shots.  When that stuff happens, you've just got to",CRISTIE KERR,Individual,4
426,Baseball,"Maybe even a little bit before. No, we all know who's going to potentially be available, so it was dialogue, conversations started up shortly thereafter.",DAVE ROBERTS,Team,5
427,Baseball,"How good we're going to be, our young core of players, what we've got going. That's the best sell I can do. I think it's a good one.",CHARLIE MONTOYO,Team,7
428,Auto Racing,"Yeah, so I didn't even know the 1 car had an engine issue. That's a bummer for sure. Our engine shop does a great job. Yeah, that's a bummer.",ALEX BOWMAN,Blended,4
429,Football,"didn't fire me up a whole lot. I look out every day I loved practice, even as a player, I",COACH STOOPS,Team,2
430,Tennis," A little bit, but not very much.  I didn't change anything really; just very small things, you know, they were easy to change, to adjust.",GABRIELA SABATINI,Individual,2
431,Golf,About four years ago.  I started using it midsummer and I've used the same putter ever since.  I've only changed the grip on it once.  I just was having some difficulties with my putting.  I love the long putter.,SHERRI STEINHAUER,Individual,1
432,Volleyball,"We played a match without Madison Duello. She's kind of an important part of what we're doing. And it's really interesting of going back, like they said, and watching a match that you played, what, three months ago.",KELLY SHEFFIELD,Team,4
433,Tennis," I don't think so.  Not at all.  I know she is a good player, but all the other things have nothing to do you know, with the way I am going to play her.",GABRIELA SABATINI,Individual,2
434,Baseball,"That's a great question. This year since Spring Training, him, Robles, and I have really come a long way, very long way. Spring Training was fun and interesting. How far we've come since then has been tremendous.",ADAM EATON,Team,2
435,Tennis," Well, when you ask me that, I feel maybe a little bit bad for her now, but I feel more happy for myself, so it just overwhelms that.",HELENA SUKOVA,Individual,7
436,Football," Just looking forward to playing this game, because every  -- we've always dreamed of playing in this game, and we're doing everything we can to win the football game.",J.T. THATCHER,Team,6
437,Basketball,I see where you're going.  That's not our motivation.  We're trying to compete for a title.  Golden State doesn't have anything to do with us.,ERIK SPOELSTRA,Team,5
438,Cricket,That's a part of the coaching staff and what was evaluated of the situation and the nature of this tournament. So we wanted to bring her into the middle always to have her affect the game a bit more.,SORNNARIN TIPPOCH,Team,1
439,Golf,I think I got -- I kind of just saved it when my ball striking wasn't there; when my putting wasn't there I saved it by the second putts.,DANIELLE KANG,Individual,4
440,Cricket,"Yeah, Murshida is very young in the Team, and she has the potential to play well in the match. She's in good form nowadays, and I think she's going to be our best player in our Team.",NIGAR SULTANA JOTY,Team,6
441,Baseball,I don't know what the Nats fans are going to be like. I know they're going to be loud. I know it's going to be exciting here. They waited for a long time for this opportunity.,DAVE MARTINEZ,Team,6
442,Volleyball,We're very happy to be here and excited to be competing in this phase of the tournament and looking forward to our match tomorrow. Thanks.,HEAD COACH HUGH MCCUTCHEON,Team,6
443,Basketball,"  Yeah, it was more just the read.  I had every intention to go with a rotation that we have been and possibly could go with that in Game 6.",ERIK SPOELSTRA,Team,1
444,Baseball,"That's a really good question that I don't know exactly how to answer yet, specifically, because these are the types of things that I personally haven't spent a ton of time on.",ROCCO BALDELLI,Team,7
445,Baseball,"You know, we'll have these conversations all day. It's an exciting time. Our pitching will be mapped out a little bit, but honestly, we're just going to go with whatever we feel during the game.",AJ HINCH,Team,1
446,Basketball,"  No.  I mean, our backs are against the wall.  It's not like it's never been done before.  We still got hope, we are still going to grind to the end, start to finish.",BAM ADEBAYO,Team,5
447,Baseball,"If I had to pick one weakness from AnÃ»?bal, it's hold the runners on. And we knew that. We tried different things. But he gets so focused on getting hitters out that sometimes he gets a little long.",DAVE MARTINEZ,Team,2
448,Golf,"  Yeah, unfortunately I didn't hit that great of a shot on 11.  I feel like I executed my game plan, but we didn't carry it far enough for it to take that slope down.",ALLY MCDONALD,Individual,4
449,Tennis," I don't know why was that.  I have six chances to come in, I didn't come once, so that is the way.",GORAN IVANISEVIC,Individual,4
450,Tennis," I could got a bad call, Bud.  Just long time out there to get a bad call on a big point.",WALLY MASUR,Individual,8
451,Golf,"  It means the world to me obviously that they're here.  This is the closest golf tournament that we have, and commish just added it to our schedule with COVID happening and canceling some events, having them here was just amazing.",ALLY MCDONALD,Individual,7
452,Tennis,Just makes you feel good.  It makes you want to play harder and play better because it is also a good feeling that the crowd is enjoying the match and that they are getting into it too.,MARY PIERCE,Individual,7
453,Tennis," I think it's just another loss.  I mean, we won six Grand Slams in a row.  How lucky do you want to be?",GIGI FERNANDEZ,Individual,4
454,Baseball,"He's good. He threw, he felt good. We'll see what transpires between now and tonight. But he says he feels good. So, yeah, as of right now he'll definitely start Game 7.",DAVE MARTINEZ,Team,2
455,Baseball,"I haven't yet spoken to Max today, waiting for him to get here. So hopefully he's a little bit better. We'll see and I'll talk to him and have more information sometime later today or tomorrow.",DAVE MARTINEZ,Team,2
456,Volleyball,"Yeah, I think tonight they were really clean, yeah, I'd agree. And I thought we had some chances certainly in the second to maybe pull out a set here, and then it's hard to know.",HUGH MCCUTCHEON,Team,4
457,Football,"I think we had a good season, the seniors stepped up and this was their last game and they played hard and I still think we had a good season even though we lost the last two games.",JALEN THOMPSON,Team,4
458,Baseball,"No, I appreciate you saying that. But I'm not saying this trying to brag or trying to have any sense of overconfidence or anything like that.",AJ HINCH,Team,7
459,Golf," I don't know, I signed the ball for a kid, so he might have had it because it was the same number.  Could have been that ball, I don't know.",GEOFF OGILVY,Individual,7
460,Golf,"  Honestly, today's round was a little bit boring.  I had 16 pars going into my last two holes, and pars are good, but they can be frustrating if you know you gave yourself a couple birdie chances.",BIANCA PAGDANGANAN,Individual,4
461,Baseball,"It's been huge. And like I said, everybody talks about our big three, but AnÃ»?bal has pitched unbelievable since he came off the aisle all year long. He gives us a chance to win ball games every outing.",DAVE MARTINEZ,Team,2
462,Basketball,Status is still the same.  He went through the film session and that was the bulk of what we did.  Status is the same with Goran.,ERIK SPOELSTRA,Team,2
463,Auto Racing,"I think everything has been pushed into the pile already. All these cars are pretty much prepared throughout the next three weeks, with the travel to Phoenix, Texas, back to Martinsville. Everything is already prepared.",KEVIN HARVICK,Blended,7
464,Tennis," Well, I didn't play my best, but I think a lot of that is due to what he was doing.",JIM COURIER,Individual,2
465,Baseball,"To be honest with you, I don't think many guys really think about the series in its entirety. I think more guys just try to have -- plan on going in and trying to accomplish the goal of winning today.",ADAM EATON,Team,5
466,Cricket,"No, we didn't have those conversations. Yeah, it was really just about getting the score today and winning the matches.",RACHAEL HAYNES,Team,4
467,Cricket,"Not much. We were just looking to keep it simple, and yeah, we were just being in the present and enjoying the moment. That's it. We were just keeping it simple.",RADHA YADAV,Team,1
468,Golf," I said this last week at Evian I wanted to do Top 10, Top 15, which last week I totally failed.  So this week",GWLADYS NOCERA,Individual,2
469,Baseball,"I'm going to have a press conference tomorrow at noon, and I'll address all those things then. I think I want to just confine this to Stras and the Washington Nationals right now, Barry.",SCOTT BORAS,Team,7
470,Football,I don't get caught up in that.  I go out ask there and get myself prepared to play a big game and worry about winning.,JOSH HEUPEL,Team,1
471,Tennis," No.  It is just that you know, the first match I played very good and today, I think I played much better and I feel like match by match I am getting better and better.",GABRIELA SABATINI,Individual,2
472,Baseball,"No, I don't think it really was ever an idea. I threw a bullpen yesterday. Obviously found out when -- a little while ago. But I'm kind of at that point where I'm preparing for Game 6.",STEPHEN STRASBURG,Team,6
473,Baseball,"What about later in your career, the Olympics? Does anything stand out to you as being such a pristine surface to play on?",HEIDI WATNEY,Team,7
474,Volleyball,"I think she passed over 2-4 and made zero hitting errors and she did a really nice job. She had a tough matchup there in the last two sets against Samedy, and she got her hands in front of it.",KEVIN HAMBLY,Team,2
475,Golf," Yeah, I mean, given the condition, I think 67 is a great score, let alone tied for the lead.  Any time you're leading a PGA TOUR event, you have shot a great round of golf.",RYUJI IMADA,Individual,4
476,Basketball,"  It definitely reminded me of it, just the excitement, the ""I can't believe this.""   I definitely saw myself, 27 LeBron, 27 AD.  I definitely saw myself in that.",LeBRON JAMES,Team,7
477,Football,"MIKE LEACH: Yeah, it's kind of a next-man-up deal.  It's a lot like practice or spring or camp  you just play the next guy.",MIKE LEACH,Team,1
478,Tennis," At times, no.  At times, yes.  Depends on the player, depends on the day.  As far as today, I think that I just definitely went for too much at times.",LISA RAYMOND,Individual,4
479,Basketball,"  Well, she's going to get better open looks in this series than she did in the last series, so that's a positive, number one.",BILL LAIMBEER,Team,2
480,Golf,"No, definitely not.  I'm just thankful I shot a really good round today and I got myself back into it.",CRISTIE KERR,Individual,4
481,Volleyball,I personally don't think so. I don't think it's one point or two points that determine anything. It's going to sting just as much.,DANA RETTKE,Team,6
482,Baseball,You think about a lot of things before signing. You think about a lot. But I never thought that I'd be here in the big leagues at the biggest stage and performing at the biggest stage.,YORDAN ALVAREZ,Team,7
483,Cricket,"She won't be able to answer that. Yeah, she still was going to sit out. She's a precautionary risk, so like Chloe said, she would probably be expected to play in the semifinal.",FEMALE SPEAKER,Team,1
484,Golf,"  Yes, because before couple weeks I don't have a confidence, you know, like distance.  If I have like a between club, like how do I this, so much thinking before shot.",CHELLA CHOI,Individual,1
485,Hockey,"Yeah, I mean, there's probably not going to be a lot of odd-man rushes.  We know that.  It's been a tight series.  Not a lot of room out there.",JADEN SCHWARTZ,Team,6
486,Cricket,"We tried to back up bowlers with the field, with setting the field, but the bowlers didn't really bowl to their field. So, yeah, in that respect, it just didn't go our way.",SORNNARIN TIPPOCH,Team,4
487,Football,I don't think there was one thing that I helped him with.  I think Andre is probably giving more credit to me than I deserve.,JOSH HEUPEL,Team,2
488,Tennis," I don't know.  Maybe.  I hope so, but I have to try to play the next year in the big tournaments claycourt; I have to play good and then to get points and go up in the ranking.",CARLOS COSTA,Individual,2
489,Golf,Had to make a choice between that and Mexico and come home again is going to be the order of the day.  More breakfast.,KAREN STUPPLES,Individual,7
490,Golf," On 17, I didn't hit a good drive.  I hit a 5 iron in.  I had 235 to the pin.  I carried it 223 or so with a 5 iron.  But my driver was very hesitant.",MATHIAS GRÃ»Â¤NBERG,Individual,4
491,Baseball,"As of right now, yes. I think he talked to some of you guys already. He gave you thumbs up, didn't he?",DAVE MARTINEZ,Team,7
492,Baseball,"You know what, he's coming to the game. He's a fan. Hopefully he cheers for the Washington Nationals, and I hope he enjoys the game.",DAVE MARTINEZ,Team,7
493,Volleyball,"It's an incredible feeling. I really don't have many words right now. But after winning games one and two, we had a lot of confidence going into Game 3. Didn't go our way.",AIKO JONES,Team,4
494,Tennis," No.  I knew I was going to play two days in a row.  I was supposed to start on Monday, so was prepared for that.",GABRIELA SABATINI,Individual,7
495,Golf," I am extremely delighted.  I think it's funny because when I won back in '98, I never even made a trip into the media room until after I won.  (Laughing).  So this is my first time.",SHERRI STEINHAUER,Individual,7
496,Tennis," As I said, I really believe I am a better player now and I think I deserve it more, these days and I think I am ready for it much better than I did in that year.",HELENA SUKOVA,Individual,2
497,Baseball,I did not get a free dinner actually. There might have been a bill. I might have hit a window or something so --,RYAN HOWARD,Team,7
498,Golf,"  Oh, I can see far away.  I just can't see close up anymore.  Can't read the scorecard, but I can see an eagle over there.",BETH DANIEL,Individual,7
499,Tennis,I would say it was very close to maximum.  But not 100%.  I would say it was very close to maximum.  Maybe you can write for which paper you work for.,ANDREI MEDVEDEV,Individual,4
500,Hockey,"Yeah, everybody is on edge when you go into OT.  One bad bounce, it could be turning out badly for your Team or good for your Team.  Fortunately for us, he put one in.",CALE MAKAR,Team,4
501,Basketball,"  Yeah, we'll talk about the starting lineup, we'll submit it 30 minutes prior, not before then. And in terms of the other rotations, obviously you guys will have to see that play out throughout the game.",FRANK VOGEL,Team,5
502,Football,"  Again, the media is going to look for something, blow something out of proportion.  That's something that's been blown out of proportion.",JOSH HEUPEL,Team,7
503,Golf,"  Not yet.  I saw her son this morning at the daycare.  You know, it is hard to kind of catch up because you're on different schedules and the babies have different schedules.",GERINA PILLER,Individual,7
504,Hockey,"Well, there's been times where that does happen, for sure.  We respond pretty well to adversity.  When it's on the line, we tend to get good results.  That's what we're hoping for tomorrow obviously.",CRAIG BERUBE,Team,6
505,Golf," Thank you, Geoff, for joining us.  Great round today.  I know you were probably a little disappointed with that last hole, but still a good day and you're in excellent position for Sunday.",JOAN v.T. ALEXANDER,Individual,2
506,Baseball,"Well, I wasn't aware of that, that a lot of their runs were being scored during that portion of the game. I know in Game 2 obviously it kind of got away from us in those innings.",WILL HARRIS,Team,4
507,Tennis,"There was a time maybe when I was -- when I was more beatable, two years back, three years back, but I think I have gotten-- now the players don't really feel that way too much, hopefully.",STEFFI GRAF,Individual,2
508,Baseball,"My dream was pitching in the big leagues was my dream. I always imagined playing the World Series and winning the game for us. Something very big for me, big year for me. And I think I'm proud of myself.",JOSE URQUIDY,Team,7
509,Golf," Well, I was on the Nationwide Tour for five years after college, and I've been close a few times.  But I wasn't able to make it out here.",RYUJI IMADA,Individual,7
510,Baseball,"Yeah, I guess I haven't really thought about it too much. But I'm sure I'll probably push it back a little bit.",PATRICK CORBIN,Team,7
511,Cricket,"Yeah, I've never been to the SCG. I've seen it all on TV in the Ashes when I was younger, so it's quite nice to be able to go there and play a game there. Like I'm really excited.",SOPHIE ECCLESTONE,Team,6
512,Tennis," I didn't make so much final, I mean, it is my second -- third, so -- but one day you have to start to win, so maybe tomorrow.",CEDRIC PIOLINE,Individual,4
513,Auto Racing,"I think other than just the whole keeping the Team motivated, keeping the morale up. I don't know, a lot of guys feed off that. It keeps everyone motivated knowing we're the best. Gives everyone confidence, right?",PAUL WOLFE,Blended,5
514,Baseball,"Yeah, it's exciting. I think after the first couple of games obviously our goal coming here was to be able to get back to Minute Maid. We've accomplished that. And obviously we want to win tonight.",JUSTIN VERLANDER,Team,6
515,Tennis," No, but I think I was a little bit slower getting into the balls; especially at the net, because I made some mistakes which I shouldn't have.  But that is what happened.",HELENA SUKOVA,Individual,1
516,Football,"  I don't know if you can compare them to any one Team.  I think every Team, every defense has it's own style, it's own characteristics.",JOSH HEUPEL,Team,1
517,Volleyball,"Yeah, I'll have some family and friends. It's nice to be back in a city that's somewhat familiar. It's an awesome place and I've loved playing here the last couple of years. Yeah, I'm just really excited about it.",TORI DILFER,Team,7
518,Golf," It was just kind of sitting down, nestled down but I could see the ball.  I've been in worse, believe me.",JULI INKSTER,Individual,4
519,Basketball,  It's a huge deal.  It's the switch of a game.  Could be the change of an outcome.  It's key.  We knew that going in we're going to have to close out quarters.  It's tough.  It's not the easiest thing.,A'JA WILSON,Team,1
520,Football,"  It's been a good time.  I got a chance to enjoy the city a little bit for a couple of days, look around.  And again, it's been business at hand.",JOSH HEUPEL,Team,7
521,Golf,It's a Taylor Made Rossa putter.  I putted with a Rossa earlier in the year.  I'm going back and forth with it and I grabbed it one out of the barrel and it's totally different than anything I've putted it.,LOREN ROBERTS,Individual,7
522,Volleyball,I think so too. We kept learning as we went. That was the biggest thing. We were just taking it one day at a time and doing whatever we could to just help and benefit the Team.,CC McGRAW,Team,5
523,Auto Racing,"  Hell, yeah.  Yeah.  Look, I show up to win every race, like any of these guys.  If you don't have that mindset, I don't know what you're doing here.  I'll always preach that.",JOSEF NEWGARDEN,Blended,5
524,Lacrosse,"I don't know if we can say we don't know a ton about them, just because of how good they are this year and how good they were last year.",RYAN CONRAD,Team,2
525,Volleyball,"The BYU match from my freshman year, yeah, I saw a little parallels to that game, just that back and forth, like they were playing amazing defense. It was good to be in that environment in a tough situation.",MICAYA WHITE,Team,4
526,Golf,"  Yeah, I think it rained a lot last night and the course was playing quite long and quite soft.  The fairways are quite wet so we played preferred lies, but it was tough to get on the par-5s.",CARLOTA CIGANDA,Individual,4
527,Tennis, I didn't eat at Flushing Meadow all two weeks.  What I was doing was getting good New York delis sandwiches and eating turkey sandwiches for two straight weeks and didn't eat here at all.,PETE SAMPRAS,Individual,7
528,Baseball,"Good afternoon. My name is Jon Shevstakovsky, and I am vice president of communications and education at the National Baseball Hall of Fame and Museum in Cooperstown. Welcome to the Hall of Fame's MLB press conference.",JON SHEVSTAKOVSKY,Team,7
529,Auto Racing,"Yeah, I use that as a lot of motivation personally. I love it. Honestly, like, if people want to motivate me, just talk crap about me on the Internet. It works pretty well (smiling).",ALEX BOWMAN,Blended,5
530,Baseball,"We actually hit some balls hard, we really did. We just can't get nothing going these last three days. But we hit some balls hard.",DAVE MARTINEZ,Team,4
531,Hockey,"Execute.  Last night was a lot better, simplified getting pucks to the net, got some traffic.  We had some pretty good looks.  I probably should have scored on the one.  Hit the post or whatever, so...",ALEX PIETRANGELO,Team,4
532,Golf,"  Pretty tough start.  You know, like actually 1st hole I make bogey I feel like it's can happen because like long par-4.",ARIYA JUTANUGARN,Individual,4
533,Golf," Bart, you've had a consistent year as far as making cuts, and you're 168th on the money list but maybe you haven't finished as well as --",TODD BUDNICK,Individual,2
534,Tennis," I thought I had a chance to go in the fifth set, especially with the breakpoint in the next game.",BORIS BECKER,Individual,4
535,Cricket,"Yeah, obviously it feels great when you do something for your Team, and yeah, I'm really looking forward for the semis now.",RADHA YADAV,Team,5
536,Tennis,"  It was a little bit luck that -- Todd normally plays with Arantxa and Arantxa decided not to play the mixed over here, so Todd was deciding to play or not to play the mixed and then--",HELENA SUKOVA,Individual,4
537,Basketball,"  I was talking to Sue about it before we finished.  I talked to Cathy [Engelbert] about it before my Podcast.  To be able to be the 2020 WNBA champs, it's a huge gold star next to that.",BREANNA STEWART,Team,4
538,Baseball," I've got a bunch of family in town, so I'll probably just be at home and entertain all of the family that I've got in town.",ROD BARAJAS,Team,7
539,Lacrosse,"Yeah, I think those guys both came into our program a little unsure of what their role would be.  They're both very humble and quiet kids.  Credit that's guys for bringing your younger defensemen along.",ANDY SHAY,Team,5
540,Basketball,"  He's a competitor.  What he's trying to do -- you tip your hat to a guy like that.  Obviously, it's a terrible time going down with an injury.  An injury of that caliber obviously hinders you a little bit.",JAE CROWDER,Team,3
541,Cricket,"This was the first time we've played in these conditions, and it's very different than ours. Usually we have the series, more series in Asia.",SALMA KHATUN,Team,4
542,Golf,"I think so.  I shot 66 and I was winning so I knew I was going to qualify, so I came straight over and practiced a little bit and got some free clubs and the whole bit.",JONATHAN BYRD,Individual,2
543,Tennis," Because they was playing volleyball in the big club in France and the first activity was the tennis, so I start with my girlfriend because they was playing tennis so I was playing tennis with them.",CEDRIC PIOLINE,Individual,7
544,Baseball,"Well, I think I would characterize it as a tale of two cities. I think as between the negotiating committees, the dialogue has gotten a little more positive in the most recent set of meetings.",ROB MANFRED,Team,7
545,Tennis, I think it is difficult to say because I think he is second tournament.  I don't know how many tournaments he played.,JAIME ONCINS,Individual,2
546,Auto Racing,"I feel a lot better after today, getting out of here with a good day, leading laps here. I feel good about that leading into next week.",KEVIN HARVICK,Blended,5
547,Cricket,"So, yeah, the pitch will probably play the same for both Teams. So it's just a matter of consistency on our part to do well in all aspects of the game.",SORNNARIN TIPPOCH,Team,6
548,Baseball,"I don't know. Everyone is a little bit different, honestly. You just try and get to know one another and try and be authentic and explain who we are, try and find out about the player.",AARON BOONE,Team,5
549,Volleyball,"This Team had such a great year, and to end like that -- they are a great Team. I just wish we could have responded like we have been.",LOGAN EGGLESTON,Team,5
550,Baseball,"Yeah, just in general terms if you look at a lineup and you have -- the fewer guys you have to game plan for, you know, the easier it is to navigate a game on the other side.",MIKE SHILDT,Team,1
